Date,open,high,low,code,close,pctChg,volume,amount,turn
1994-06-07,541.1600,541.2500,527.9300,sh.000001,529.76,-2.432908,58625300,430936320.0000,0.006873
1994-06-08,526.4000,535.5200,522.8500,sh.000001,533.56,0.717304,80504300,539957376.0000,0.009438
1994-06-09,534.2400,536.8900,521.0200,sh.000001,523.0,-1.979158,93166800,725095104.0000,0.010905
1994-06-10,519.8400,521.8400,512.0300,sh.000001,514.54,-1.617595,78470300,531074624.0000,0.009185
1994-06-13,505.5400,505.6800,491.6100,sh.000001,492.03,-4.374777,70764400,410018720.0000,0.008271
1994-06-14,492.4500,497.8000,487.2600,sh.000001,490.75,-0.260147,75173900,429329504.0000,0.008779
1994-06-15,492.8400,498.7100,491.1800,sh.000001,496.11,1.092203,82989600,414025376.0000,0.009691
1994-06-16,498.1100,506.4000,494.9400,sh.000001,506.36,2.066074,79772400,435822272.0000,0.009316
1994-06-17,509.0900,528.4500,504.1300,sh.000001,527.85,4.244014,184202200,992650176.0000,0.021482
1994-06-20,523.3700,531.1100,500.4600,sh.000001,502.43,-4.815759,185821200,1115201536.0000,0.021506
1994-06-21,498.5600,501.2400,494.8100,sh.000001,498.07,-0.867780,63665600,372147040.0000,0.007368
1994-06-22,499.1400,509.1900,499.1400,sh.000001,505.18,1.427507,55608700,324051168.0000,0.006436
1994-06-23,507.0300,507.9200,498.5700,sh.000001,500.39,-0.948172,62463800,391212928.0000,0.007229
1994-06-24,499.9100,500.5000,490.6800,sh.000001,492.33,-1.610749,59950500,364686240.0000,0.006931
1994-06-27,483.4500,483.9000,471.0300,sh.000001,472.1,-4.109029,66136700,380743392.0000,0.007641
1994-06-28,470.5400,472.9500,468.7700,sh.000001,469.95,-0.455411,38783300,207516272.0000,0.004475
1994-06-29,472.4800,475.3800,466.9700,sh.000001,468.2,-0.372380,34303800,192562032.0000,0.003958
1994-06-30,466.3500,471.1800,458.7400,sh.000001,469.29,0.232806,47517300,268926720.0000,0.005474
1994-07-01,469.2700,469.4300,457.5100,sh.000001,458.37,-2.326922,52899500,309435968.0000,0.006094
1994-07-04,446.2300,446.8600,438.1200,sh.000001,438.58,-4.317475,51969900,277932512.0000,0.005665
1994-07-05,437.6400,443.8600,436.2200,sh.000001,443.61,1.146883,43898900,237065952.0000,0.004785
1994-07-06,444.5900,445.0500,430.7700,sh.000001,431.71,-2.682535,56253700,275081888.0000,0.006132
1994-07-07,428.3000,430.5800,423.0300,sh.000001,425.98,-1.327275,44138200,239545344.0000,0.004811
1994-07-08,426.2500,438.0600,425.9000,sh.000001,437.75,2.763038,59650200,325375136.0000,0.006502
1994-07-11,436.5400,436.5400,427.0800,sh.000001,428.15,-2.193034,66075300,406679072.0000,0.007197
1994-07-12,427.6200,431.1500,427.2300,sh.000001,429.21,0.247576,32247700,159813616.0000,0.003512
1994-07-13,430.5500,437.6600,430.4000,sh.000001,437.62,1.959415,46165200,251675040.0000,0.005028
1994-07-14,437.5300,440.5900,430.5700,sh.000001,431.8,-1.329923,79063600,498111680.0000,0.008612
1994-07-15,431.0100,431.0500,413.0000,sh.000001,413.93,-4.138489,69611800,369175488.0000,0.007582
1994-07-18,405.6100,406.6400,397.4700,sh.000001,398.96,-3.616554,45004000,209533200.0000,0.004884
1994-07-19,398.9000,403.4900,393.0600,sh.000001,400.48,0.380995,38863900,179714848.0000,0.004218
1994-07-20,401.9800,402.5900,393.1400,sh.000001,393.87,-1.650523,33460500,167150608.0000,0.003631
1994-07-21,390.9400,390.9900,380.7200,sh.000001,380.9,-3.292965,51974700,240580880.0000,0.005641
